id,code,name,dpto_id/id
dpto_153,l10n_sv_dpto.08_22,San Luis La Herradura,l10n_sv_dpto.08
dpto_154,l10n_sv_dpto.09_1,Cinquera,l10n_sv_dpto.09
dpto_155,l10n_sv_dpto.09_2,Guacotecti,l10n_sv_dpto.09
dpto_156,l10n_sv_dpto.09_3,Ilobasco,l10n_sv_dpto.09
dpto_157,l10n_sv_dpto.09_4,Jutiapa,l10n_sv_dpto.09
dpto_158,l10n_sv_dpto.09_5,San Isidro,l10n_sv_dpto.09
dpto_159,l10n_sv_dpto.09_6,Sensuntepeque,l10n_sv_dpto.09
dpto_160,l10n_sv_dpto.09_7,Tejutepeque,l10n_sv_dpto.09
dpto_161,l10n_sv_dpto.09_8,Victoria,l10n_sv_dpto.09
dpto_162,l10n_sv_dpto.09_9,Dolores,l10n_sv_dpto.09
dpto_163,l10n_sv_dpto.10_1,Apastepeque,l10n_sv_dpto.10
dpto_164,l10n_sv_dpto.10_2,Guadalupe,l10n_sv_dpto.10
dpto_165,l10n_sv_dpto.10_3,San Cayetano Istepeque,l10n_sv_dpto.10
dpto_166,l10n_sv_dpto.10_4,Santa Clara,l10n_sv_dpto.10
dpto_167,l10n_sv_dpto.10_5,Santo Domingo,l10n_sv_dpto.10
dpto_168,l10n_sv_dpto.10_6,San Estaban Catarina,l10n_sv_dpto.10
dpto_169,l10n_sv_dpto.10_7,San Ildefonso,l10n_sv_dpto.10
dpto_170,l10n_sv_dpto.10_8,San Lorenzo,l10n_sv_dpto.10
dpto_171,l10n_sv_dpto.10_9,San Sebastian,l10n_sv_dpto.10
dpto_172,l10n_sv_dpto.10_10,San Vicente,l10n_sv_dpto.10
dpto_173,l10n_sv_dpto.10_11,Tecoluca,l10n_sv_dpto.10
dpto_174,l10n_sv_dpto.10_12,Tepetitan,l10n_sv_dpto.10
dpto_175,l10n_sv_dpto.10_13,Verapaz,l10n_sv_dpto.10
dpto_176,l10n_sv_dpto.11_1,Alegria,l10n_sv_dpto.11
dpto_177,l10n_sv_dpto.11_2,Berlin,l10n_sv_dpto.11
dpto_178,l10n_sv_dpto.11_3,California,l10n_sv_dpto.11
dpto_179,l10n_sv_dpto.11_4,Concepcion Batres,l10n_sv_dpto.11
dpto_180,l10n_sv_dpto.11_5,El Triunfo,l10n_sv_dpto.11
dpto_181,l10n_sv_dpto.11_6,Ereguayquin,l10n_sv_dpto.11
dpto_182,l10n_sv_dpto.11_7,Estanzuelas,l10n_sv_dpto.11
dpto_183,l10n_sv_dpto.11_8,Jiquilisco,l10n_sv_dpto.11
dpto_184,l10n_sv_dpto.11_9,Jucuapa,l10n_sv_dpto.11
dpto_185,l10n_sv_dpto.11_10,Jucuaran,l10n_sv_dpto.11
dpto_186,l10n_sv_dpto.11_11,Mercedes Umaña,l10n_sv_dpto.11
dpto_187,l10n_sv_dpto.11_12,Nueva Granada,l10n_sv_dpto.11
dpto_188,l10n_sv_dpto.11_13,Ozatlan,l10n_sv_dpto.11
dpto_189,l10n_sv_dpto.11_14,Puerto El Triunfo,l10n_sv_dpto.11
dpto_190,l10n_sv_dpto.11_15,San Agustin,l10n_sv_dpto.11
dpto_191,l10n_sv_dpto.11_16,San Buenaventura,l10n_sv_dpto.11
dpto_192,l10n_sv_dpto.11_17,San Dionisio,l10n_sv_dpto.11
dpto_193,l10n_sv_dpto.11_18,Santa Elena,l10n_sv_dpto.11
dpto_194,l10n_sv_dpto.11_19,San Francisco Javier,l10n_sv_dpto.11
dpto_195,l10n_sv_dpto.11_20,Santa Maria,l10n_sv_dpto.11
dpto_196,l10n_sv_dpto.11_21,Santiago De Maria,l10n_sv_dpto.11
dpto_197,l10n_sv_dpto.11_22,Tecapan,l10n_sv_dpto.11
dpto_198,l10n_sv_dpto.11_23,Usulutan,l10n_sv_dpto.11
dpto_199,l10n_sv_dpto.12_1,Carolina,l10n_sv_dpto.12
dpto_200,l10n_sv_dpto.12_2,Ciudad Barrios,l10n_sv_dpto.12
dpto_201,l10n_sv_dpto.12_3,Comacaran,l10n_sv_dpto.12
dpto_202,l10n_sv_dpto.12_4,Chapeltique,l10n_sv_dpto.12
dpto_203,l10n_sv_dpto.12_5,Chinameca,l10n_sv_dpto.12
dpto_204,l10n_sv_dpto.12_6,Chirilagua,l10n_sv_dpto.12
dpto_205,l10n_sv_dpto.12_7,El Transito,l10n_sv_dpto.12
dpto_206,l10n_sv_dpto.12_8,Lolotique,l10n_sv_dpto.12
dpto_207,l10n_sv_dpto.12_9,Moncagua,l10n_sv_dpto.12
dpto_208,l10n_sv_dpto.12_10,Nueva Guadalupe,l10n_sv_dpto.12
dpto_209,l10n_sv_dpto.12_11,Nuevo Eden de San Juan,l10n_sv_dpto.12
dpto_210,l10n_sv_dpto.12_12,Quelepa,l10n_sv_dpto.12
dpto_211,l10n_sv_dpto.12_13,San Antonio Del Mosco,l10n_sv_dpto.12
dpto_212,l10n_sv_dpto.12_14,San Gerardo,l10n_sv_dpto.12
dpto_213,l10n_sv_dpto.12_15,San Jorge,l10n_sv_dpto.12
dpto_214,l10n_sv_dpto.12_16,San Luis de la Reina,l10n_sv_dpto.12
dpto_215,l10n_sv_dpto.12_17,San Miguel,l10n_sv_dpto.12
dpto_216,l10n_sv_dpto.12_18,San Rafael Oriente,l10n_sv_dpto.12
dpto_217,l10n_sv_dpto.12_19,Sesori,l10n_sv_dpto.12
dpto_218,l10n_sv_dpto.12_20,Uluazapa,l10n_sv_dpto.12
dpto_219,l10n_sv_dpto.13_1,Arambala,l10n_sv_dpto.13
dpto_220,l10n_sv_dpto.13_2,Cacaopera,l10n_sv_dpto.13
dpto_221,l10n_sv_dpto.13_3,Corinto,l10n_sv_dpto.13
dpto_222,l10n_sv_dpto.13_4,Chilanga,l10n_sv_dpto.13
dpto_223,l10n_sv_dpto.13_5,Delicias De Concepcion,l10n_sv_dpto.13
dpto_224,l10n_sv_dpto.13_6,El Divisadero,l10n_sv_dpto.13
dpto_225,l10n_sv_dpto.13_7,El Rosario,l10n_sv_dpto.13
dpto_226,l10n_sv_dpto.13_8,Gualococti,l10n_sv_dpto.13
dpto_227,l10n_sv_dpto.13_9,Guatajiagua,l10n_sv_dpto.13
dpto_228,l10n_sv_dpto.13_10,Joateca,l10n_sv_dpto.13
dpto_229,l10n_sv_dpto.13_11,Jocoaitique,l10n_sv_dpto.13
dpto_230,l10n_sv_dpto.13_12,Jocoro,l10n_sv_dpto.13
dpto_231,l10n_sv_dpto.13_13,Lolotiquillo,l10n_sv_dpto.13
dpto_232,l10n_sv_dpto.13_14,Meanguera,l10n_sv_dpto.13
dpto_233,l10n_sv_dpto.13_15,Osicala,l10n_sv_dpto.13
dpto_234,l10n_sv_dpto.13_16,Perquin,l10n_sv_dpto.13
